SMILES,Core_type,SAscore
Oc1cc(-c2cccs2)cc(-c2cccs2)c1,3取代苯,2.193457043379018
Cc1cc(O)cc(C#N)c1,3取代苯,2.241853982060128
Clc1cc(Br)cc(Br)c1,3取代苯,2.1783087764563263
Cc1cc(O)cc(Cl)c1,3取代苯,2.0264972379947874
Fc1cc(Br)cc(-c2cccs2)c1,3取代苯,2.043840997410074
Fc1cc(Cl)cc(-c2cccs2)c1,3取代苯,1.9669125150815905
Brc1cccc(-c2ccccc2)c1-c1ccccc1,3取代苯,1.597084108359681
Cc1cccc(Cl)c1I,3取代苯,2.1356914687640174
COc1cc(F)cc(-c2cccs2)c1,3取代苯,1.8873417395382912
N#Cc1ccc(I)cc1O,3取代苯,2.5284591102652563
c1csc(-c2cccc(-c3cccs3)c2-c2cccs2)c1,3取代苯,2.2451383419412423
Fc1cc(-c2cccs2)ccc1Br,3取代苯,1.9462854880545635
Brc1cc(I)cc(-c2cccs2)c1,3取代苯,2.3687690639381405
Clc1cccc(-c2ccccc2)c1-c1ccccc1,3取代苯,1.512234383084957
Oc1ccc(Cl)c(Cl)c1,3取代苯,1.62117993030248
Clc1cc(-c2ccccc2)cc(-c2cccs2)c1,3取代苯,1.761555629184949
COc1c(O)cccc1Br,3取代苯,1.9833975718037191
Oc1cccc(Cl)c1Cl,3取代苯,1.9191203149178637
Cc1cc(C#N)ccc1C#N,3取代苯,2.1644341824510747
Fc1cccc(Br)c1-c1cccs1,3取代苯,2.079724989094066
Cc1ccc(-c2cccs2)cc1Cl,3取代苯,1.75687010343918
Oc1ccc(F)cc1-c1cccs1,3取代苯,1.9309574215264966
Cc1cccc(Cl)c1Cl,3取代苯,1.6447414687640176
COc1cc(Cl)cc(Cl)c1,3取代苯,1.610059110265258
Oc1ccc(F)c(Br)c1,3取代苯,1.9176664687640184
COc1cccc(C#N)c1Br,3取代苯,2.1789587978356906
Oc1cccc(O)c1Cl,3取代苯,2.0677414687640177
N#Cc1cc(Cl)cc(I)c1,3取代苯,2.610571930778079
Cc1cc(F)ccc1-c1ccccc1,3取代苯,1.3582490472305988
N#Cc1cccc(Br)c1F,3取代苯,2.3251309051370512
Cc1cc(Br)ccc1C#N,3取代苯,1.988346289752437
Cc1cc(C#N)cc(-c2ccccc2)c1,3取代苯,1.6911778415230572
